,image_id,type,question,answer,address,prediction
0,synpic54082,modality,modality shown?,cta - ct angiography,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic54082.jpg,ct noncontrast
1,synpic48556,modality,mri taken contrast?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic48556.jpg,no
2,synpic50696,modality,type contrast patient have?,iv,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic50696.jpg,ct with iv contrast
3,synpic37194,modality,imaging method used?,us-d - doppler ultrasound,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic37194.jpg,us - ultrasound
4,synpic31308,modality,modality shown?,an - angiogram,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic31308.jpg,mra - mr angiography/venography
5,synpic24739,modality,mr weighting image?,t2,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic24739.jpg,t2
6,synpic32365,modality,ct scan?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic32365.jpg,no
7,synpic47936,modality,type contrast patient have?,gi and iv,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic47936.jpg,gi and iv
8,synpic29792,modality,iv contrast given patient?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic29792.jpg,yes
9,synpic43561,modality,ct scan taken contrast?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic43561.jpg,yes
10,synpic40732,modality,imaging modality used take image?,mr - flair,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic40732.jpg,mr - flair
11,synpic33904,modality,ct scan taken contrast?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic33904.jpg,no
12,synpic39583,modality,noncontrast mri?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic39583.jpg,no
13,synpic39568,modality,type image modality seen?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic39568.jpg,xr - plain film
14,synpic27024,modality,ct scan?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic27024.jpg,yes
15,synpic25155,modality,"image modality t1, t2, flair?",flair,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic25155.jpg,t2
