image_id,question,answer,address,prediction
rad_synpic33889,liver normal?,no,/kaggle/input/red-vqa-images/Images/rad_synpic33889.jpg,no
rad_synpic16170,patient pneumomediastinum?,no,/kaggle/input/red-vqa-images/Images/rad_synpic16170.jpg,no
rad_synpic32108,gall bladder pathology?,no,/kaggle/input/red-vqa-images/Images/rad_synpic32108.jpg,no
rad_synpic42245,soft tissue densities left hilum equivalent size soft tissue densities right hilum?,no,/kaggle/input/red-vqa-images/Images/rad_synpic42245.jpg,no
rad_synpic35191,plane this?,axial,/kaggle/input/red-vqa-images/Images/rad_synpic35191.jpg,brain
rad_synpic31757,borders mass well-defined interior mass homogenous?,no,/kaggle/input/red-vqa-images/Images/rad_synpic31757.jpg,no
rad_synpic32108,gallbladder wall enhanced contrast?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic32108.jpg,yes
rad_synpic19232,lungs free consolidation?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic19232.jpg,no
rad_synpic40500,image taken superior-most section brain?,no,/kaggle/input/red-vqa-images/Images/rad_synpic40500.jpg,yes
rad_synpic21044,heart abnormal?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic21044.jpg,no
rad_synpic21028,image enhanced contrast?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic21028.jpg,yes
rad_synpic34515,stool colon?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic34515.jpg,yes
rad_synpic40500,organ image of?,brain,/kaggle/input/red-vqa-images/Images/rad_synpic40500.jpg,one
rad_synpic12210,type image this?,x-ray,/kaggle/input/red-vqa-images/Images/rad_synpic12210.jpg,right
rad_synpic26925,mass well-defined?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic26925.jpg,no
rad_synpic27198,size density lesion?,"5.6cm focal, predominantly hypodense",/kaggle/input/red-vqa-images/Images/rad_synpic27198.jpg,"5.6cm focal, predominantly hypodense"
rad_synpic31394,image ct scan?,no,/kaggle/input/red-vqa-images/Images/rad_synpic31394.jpg,no
rad_synpic38069,size ventricle abnormal?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic38069.jpg,no
rad_synpic13385,lung extensive infiltration?,left,/kaggle/input/red-vqa-images/Images/rad_synpic13385.jpg,no
rad_synpic47737,swelling around lesion?,no,/kaggle/input/red-vqa-images/Images/rad_synpic47737.jpg,no
rad_synpic9872,enlargement ventricles,yes,/kaggle/input/red-vqa-images/Images/rad_synpic9872.jpg,no
rad_synpic57368,brain bleed?,no,/kaggle/input/red-vqa-images/Images/rad_synpic57368.jpg,no
rad_synpic43433,air fluid levels?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic43433.jpg,yes
rad_synpic53033,lesion left right side brain?,left,/kaggle/input/red-vqa-images/Images/rad_synpic53033.jpg,axial
rad_synpic45544,subarachnoid bleed image?,no,/kaggle/input/red-vqa-images/Images/rad_synpic45544.jpg,no
rad_synpic33481,opacities confined one lung lobe?,no,/kaggle/input/red-vqa-images/Images/rad_synpic33481.jpg,no
rad_synpic45634,image normal?,no,/kaggle/input/red-vqa-images/Images/rad_synpic45634.jpg,no
rad_synpic40096,fracture present?,no,/kaggle/input/red-vqa-images/Images/rad_synpic40096.jpg,no
rad_synpic34515,patient's vertebral body indicative normal aging?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic34515.jpg,yes
rad_synpic27985,organs besides intestines present image?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic27985.jpg,no
rad_synpic29263,pulmonary findings?,no,/kaggle/input/red-vqa-images/Images/rad_synpic29263.jpg,no
rad_synpic23053,ribs broken?,no,/kaggle/input/red-vqa-images/Images/rad_synpic23053.jpg,no
rad_synpic25105,contrast image?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic25105.jpg,yes
rad_synpic45914,see dependent layering occipital horns lateral ventricles?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic45914.jpg,yes
rad_synpic43433,dilation bowel?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic43433.jpg,yes
rad_synpic28569,damage liver?,no,/kaggle/input/red-vqa-images/Images/rad_synpic28569.jpg,no
rad_synpic34947,image cerebellum,yes,/kaggle/input/red-vqa-images/Images/rad_synpic34947.jpg,no
rad_synpic39532,many lesions present image?,one,/kaggle/input/red-vqa-images/Images/rad_synpic39532.jpg,right lung
rad_synpic55948,normal image?,no,/kaggle/input/red-vqa-images/Images/rad_synpic55948.jpg,no
rad_synpic26158,plane section include gastric cardia?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic26158.jpg,yes
rad_synpic13385,subdiaphragmatic air present left side?,no,/kaggle/input/red-vqa-images/Images/rad_synpic13385.jpg,no
rad_synpic50848,picture abnormal?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic50848.jpg,no
rad_synpic16810,evaluate kidneys bladde r ureters image?,no,/kaggle/input/red-vqa-images/Images/rad_synpic16810.jpg,no
rad_synpic39532,one lesion present?,no,/kaggle/input/red-vqa-images/Images/rad_synpic39532.jpg,no
rad_synpic29795,vertebral fracture?,no,/kaggle/input/red-vqa-images/Images/rad_synpic29795.jpg,no
rad_synpic53574,infarcts located?,diffuse,/kaggle/input/red-vqa-images/Images/rad_synpic53574.jpg,axial
rad_synpic16174,descending aortic silhouette normal contour size?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic16174.jpg,yes
rad_synpic54823,small bowel filled contrast?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic54823.jpg,yes
rad_synpic56116,cortex lesions present?,diffuse,/kaggle/input/red-vqa-images/Images/rad_synpic56116.jpg,no
rad_synpic23053,opacity near left lung apex pathologic?,no,/kaggle/input/red-vqa-images/Images/rad_synpic23053.jpg,yes
rad_synpic16174,ekg leads patient?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic16174.jpg,no
rad_synpic35155,appendix seen image ruptured?,no,/kaggle/input/red-vqa-images/Images/rad_synpic35155.jpg,no
rad_synpic40096,seem mass effect?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic40096.jpg,yes
rad_synpic31232,abdominal aorta enlarged?,no,/kaggle/input/red-vqa-images/Images/rad_synpic31232.jpg,no
rad_synpic41119,plane image shown in?,axial,/kaggle/input/red-vqa-images/Images/rad_synpic41119.jpg,axial
rad_synpic55583,t1 weighted image?,no,/kaggle/input/red-vqa-images/Images/rad_synpic55583.jpg,axial
rad_synpic40096,fluids highlighted modality?,yes,/kaggle/input/red-vqa-images/Images/rad_synpic40096.jpg,yes
